1,SAIMON,PERRO,HEMBRA,43322,A,43352,BIEN,
2,RENE,GATO,HEMBRA,43323,NA,43353,MUY BIEN,
3,RAMON,GATO,MACHO,43324,A,43354,MAL,
4,ROBERT,PERRO,HEMBRA,43325,A,43355,BIEN,
5,LOLO,GATO,MACHO,43326,A,43356,MAL,
6,APOLO,PERRO,MACHO,43327,A,43357,BIEN,
7,ALDO,GATO,HEMBRA,43328,NA,43358,MUY MAL,
8,BUSTER,GATO,MACHO,43329,NA,43359,MAL,
9,BENJA,GATO,MACHO,43330,NA,43360,MUY BIEN,
10,MANU,PERRO,MACHO,43331,A,43361,BIEN,
11,LUCIO,PERRO,HEMBRA,43332,A,43362,MAL,
12,OCTAVIO,GATO,MACHO,43333,A,43363,MAL,
13,MANU,PERRO,MACHO,43334,A,43364,MAL,
14,AURELIO,GATO,HEMBRA,43335,A,43365,BIEN,
15,OSCAR,PERRO,MACHO,43336,A,43366,MAL,
16,CIPER,PERRO,HEMBRA,43337,A,43367,MUY BIEN,
17,DARWIN,PERRO,MACHO,43338,A,43368,MUY MAL,
18,AERO,GATO,MACHO,43339,A,43369,MAL,
19,ALONSO,GATO,HEMBRA,43340,NA,43370,MAL,
20,LALO,PERRO,HEMBRA,43341,NA,43371,BIEN,
21,GEORGE,GATO,MACHO,43342,NA,43372,BIEN,
22,ADRIA,GATO,MACHO,43343,NA,43373,MAL ,
23,JORGE,PERRO,MACHO,43344,NA,43374,MAL,
24,RAFA,GATO,HEMBRA ,43345,A,43375,MAL,
25,BRANDO,PERRO,MACHO,43346,A,43376,BIEN,
26,ORIOL,GATO,MACHO,43347,A,43377,MUY MAL,
27,FELIX,GATO ,MACHO,43348,A,43378,MAL,
28,IKER,GATO ,HEMBRA,43349,NA,43379,MAL,
29,JACOBO,GATO,HEMBRA,43350,NA,43380,MAL,
30,MIKEL,GATO,MACHO,43351,NA,43381,MUY BIEN ,
31,BOCO,PERRO,HEMBRA,43352,NA,43382,MAL ,
32,ALEXANDER,PERRO,MACHO,43353,A,43383,MAL,
33,KIKO,PERRO,HEMBRA,43354,A,43384,MAL,
34,ALFIE,PERRO,MACHO,43355,A,43385,MAL,
35,MARIO,PERRO,MACHO,43356,A,43386,MAL,
36,ALFORD,GATO,HEMBRA,43357,A,43387,MUY BIEN ,
37,FERNANDO,PERRO,MACHO,43358,A,43388,MUY MAL,
38,ALI,PERRO,HEMBRA,43359,A,43389,BIEN,
39,AGUSTIN,GATO,MACHO,43360,A,43390,BIEN,
40,ALISTAR,PERRO,MACHO,43361,A,43391,MAL,
41,ELIAN,GATO,HEMBRA,43362,A,43392,MUY MAL,
42,ALVIN,GATO,MACHO,43363,A,43393,MUY BIEN,
43,BOOMER,PERRO,HEMBRA,43364,NA,43394,MAL,
44,AMOS,GATO ,HEMBRA,43365,NA,43395,MAL,
45,BOWIE,GATO,HEMBRA,43366,NA,43396,BIEN,
46,ANDRE,PERRO,MACHO,43367,NA,43397,BIEN,
47,BRADFORD,GATO,MACHO,43368,NA,43398,BIEN ,
48,ARISTEO,PERRO,MACHO,43369,NA,43399,MUY BIEN ,
49,BRADLEY,PERRO,MACHO,43370,NA,43400,MUY MAL,
52,ALM,GATO,MACHO,43371,NA,43401,MAL,
51,BRADY,PERRO,HEMBRA,43372,A,43402,MAL,
53,BRAXON,GATO,MACHO,43374,A,43404,MUY MAL,
54,CHARLIE,GATO,HEMBRA,43375,A,43405,BIEN ,
55,BROCK,PERRO,HEMBRA,43376,A,43406,MAL,
56,CHOCHO,GATO,MACHO,43377,A,43407,MAL,
57,BRIHAN,PERRO,MACHO,43378,NA,43408,MUY BIEN ,
58,LUCAS,GATO,MACHO,43379,NA,43409,MUY MAL,
59,BALU,GATO,MACHO,43380,NA,43410,MUY MAL,
60,SANTI,GATO,HEMBRA ,43381,NA,43411,MAL,
61,BROWNIE,PERRO,HEMBRA,43382,A,43412,MAL,
62,BETO,PERRO,HEMBRA,43383,A,43413,BIEN,
63,BRUCE,GATO,MACHO,43384,A,43414,BIEN,
64,XIMO,PERRO,HEMBRA,43385,A,43415,BIEN,
65,BRUTUS,GATO,MACHO,43386,A,43416,BIEN ,
66,BORJA,PERRO,MACHO,43387,A,43417,MUY MAL,
67,BRYCE,PERRO,HEMBRA,43388,NA,43418,BIEN,
68,ANDY,PERRO,MACHO,43389,NA,43419,MAL,
69,BUBA,GATO,MACHO,43390,NA,43420,MUY MAL,
70,ARISTEO,GATO,MACHO,43391,A,43421,MUY BIEN,
71,ARIS ,PERRO,HEMBRA,43392,A,43422,MAL,
72,BUCCKY,GATO,MACHO,43393,NA,43423,BIEN,
73,ANDREO,GATO,MACHO,43394,NA,43424,BIEN ,
74,AGUSTINO,PERRO,HEMBRA,43395,A,43425,MUY BIEN ,
75,ARTURO,GATO,MACHO,43396,A,43426,MUY BIEN ,
76,ADREI,PERRO,HEMBRA,43397,A,43427,MUY MAL,
